Kanji,Português,On,Kun
星,estrela,セイ,ほし
室,sala,シツ,むろ
戸,porta,コ,"と, べ"
家,casa,"カ, ケ",いえ
寺,"templo budista",ジ,てら
通,trespassar,ツウ,とおる
門,portão,モン,かど
道,estrada,ドウ,みち
話,falar,ワ,はなし
言,dizer,"ゲン, ゴン","いう, こと"
答,responder,トウ,こたえる
声,voz,セイ,こえ
聞,escutar,"ブン, モン",きく
語,linguagem,ゴ,かたる
読,ler,ドク,よむ
書,escrever,ショ,かく
記,anotar,キ,しるす
紙,papel,シ,かみ
画,figura,"ガ, カク","えが.く"
絵,imagem,カイ,え
図,desenho,ズ,はかる
工,artifício,"コウ, ク, グ",-
教,ensinar,キョウ,おしえる
晴,ensolarado,セイ,はれ
思,pensar,シ,おもう
考,refletir,コウ,かんがえる
知,saber,チ,しる
才,habilidade,"サイ, ザイ","わずかに, ざえ"
理,razão,リ,ことわり
算,calcular,サン,
作,fazer,サク,つくる
元,origem,"ゲン, ガン",もと
食,comer,ショク,たべる
肉,carne,ニク,
馬,cavalo,バ,"うま, ま"
牛,vaca,ギュウ,うし
魚,peixe,ギョ,"うお, さかな"
鳥,pássaro,チョウ,とり
羽,pena,ウ,"は, はね"
鳴,pio,メイ,なく
麦,trigo,バク,むぎ
米,arroz,"ベイ, マイ",こめ
茶,chá,"チャ, サ",
色,cor,ショク,いろ
黄,amarelo,オウ,き
黒,preto,コク,くろ
来,vir,ライ,くる
行,ir,"コウ, ギョウ","いく, ゆく, おこなう"
帰,retornar ao lar,キ,かえる
歩,andar,ホ,あるく
走,correr,ソウ,はしる
止,parar,シ,とまる
活,ativo,カツ,いきる
店,loja,テン,みせ
買,comprar,バイ,かう
売,vender,バイ,うる
午,"meio-dia",ゴ,うま
汽,vapor,キ,-
弓,arco,キュウ,ゆみ
回,"-vezes, remexer",カイ,"まわる, まわす"
会,associação,カイ,え
組,time,ソ,くみ
船,barco,セン,ふね
明,luminoso,メイ,あかるい
社,companhia,シャ,やしろ
切,cortar,セツ,きる
電,eletricidade,デン,-
毎,todo,マイ,"ごと, -ごとに"
合,ajustar,ゴウ,あう
当,bater,トウ,あたる
台,alicerce,"ダイ, タイ",
楽,prazer,ラク,たのしい
公,público,コウ,おおやけ
引,"puxar, tirar",イン,ひく
科,seção,カ,-
歌,canção,カ,うた
刀,espada,トウ,かたな
番,"número, identificável",バン,
用,uso,ヨウ,もちいる
何,quê,カ,"なに, なん"
